mukey,muname,musym,cokey,compname,comppct_r,drainagecl,hzname,hzdept_r,hzdepb_r,om_r,ph1to1h2o_r,awc_r,claytotal_r,sandtotal_r,cec7_r
2835146,"Harps clay loam, Bemis moraine, 0 to 2 percent slopes",L95,27362288,Canisteo,10,Poorly drained,A,20,41,5,7.7,0.18,30,30,23.9
2835146,"Harps clay loam, Bemis moraine, 0 to 2 percent slopes",L95,27362288,Canisteo,10,Poorly drained,AB,41,51,3,7.7,0.18,30,30,23.5
2835146,"Harps clay loam, Bemis moraine, 0 to 2 percent slopes",L95,27362288,Canisteo,10,Poorly drained,Bkg,51,91,1.5,8,0.17,27,39,17.6
2835146,"Harps clay loam, Bemis moraine, 0 to 2 percent slopes",L95,27362288,Canisteo,10,Poorly drained,Cg,91,200,0.25,8,0.18,15,49,10.7
2835146,"Harps clay loam, Bemis moraine, 0 to 2 percent slopes",L95,27362289,Okoboji,5,Very poorly drained,Ap,0,20,9,6.8,0.22,36,11,29.5
2835146,"Harps clay loam, Bemis moraine, 0 to 2 percent slopes",L95,27362289,Okoboji,5,Very poorly drained,A,20,84,6,7,0.22,36,12,29.2
2835146,"Harps clay loam, Bemis moraine, 0 to 2 percent slopes",L95,27362289,Okoboji,5,Very poorly drained,Bg,84,97,1.5,7.1,0.19,36,15,27.9
2835146,"Harps clay loam, Bemis moraine, 0 to 2 percent slopes",L95,27362289,Okoboji,5,Very poorly drained,Cg,97,200,0.25,7.4,0.19,31,16,22.4
2835146,"Harps clay loam, Bemis moraine, 0 to 2 percent slopes",L95,27362290,Harps,85,Poorly drained,Ap,0,20,7,7.5,0.18,28,30,20.3
2835146,"Harps clay loam, Bemis moraine, 0 to 2 percent slopes",L95,27362290,Harps,85,Poorly drained,Ak,20,51,5,8,0.21,26,32,18.5
2835146,"Harps clay loam, Bemis moraine, 0 to 2 percent slopes",L95,27362290,Harps,85,Poorly drained,Bkg,51,111,1.5,8,0.18,22,37,14.6
2835146,"Harps clay loam, Bemis moraine, 0 to 2 percent slopes",L95,27362290,Harps,85,Poorly drained,Cg,111,200,0.25,8,0.18,15,49,9.9
